pickup_date,vendor_id,passenger_count,trip_distance,payment_type,fare_amount,tip_amount
2013-01-01,CMT,1,1.2999999523162842,CSH,6.5,0.0
2013-01-01,CMT,2,6.799999713897705,CRD,21.0,3.0
2013-01-01,CMT,2,5.099999904632568,CSH,21.5,0.0
2013-01-01,CMT,1,0.8999999761581421,CSH,5.5,0.0
2013-01-01,CMT,1,1.2000000476837158,CSH,7.0,0.0
2013-01-01,CMT,2,0.5,CSH,4.5,0.0
2013-01-01,CMT,1,1.899999976158142,CSH,9.0,0.0
2013-01-01,CMT,1,1.2000000476837158,CRD,5.5,1.5
2013-01-01,CMT,1,2.5,CSH,10.0,0.0
2013-01-01,CMT,1,0.800000011920929,CSH,4.5,0.0
2013-01-01,CMT,1,2.200000047683716,CSH,10.0,0.0
2013-01-01,CMT,1,0.4000000059604645,CSH,3.5,0.0
2013-01-01,CMT,1,1.399999976158142,CRD,6.5,1.5
2013-01-01,CMT,2,0.4000000059604645,CSH,3.5,0.0
2013-01-01,CMT,1,7.199999809265137,CSH,22.0,0.0
2013-01-01,CMT,1,1.0,CSH,6.0,0.0
2013-01-01,CMT,1,0.29999998211860657,CSH,7.0,0.0
2013-01-01,CMT,1,1.5,CSH,6.5,0.0
2013-01-01,CMT,1,3.799999952316284,CRD,12.5,2.0
2013-01-01,CMT,2,2.799999952316284,CSH,15.5,0.0
2013-01-01,CMT,1,1.600000023841858,CSH,7.5,0.0
2013-01-01,CMT,1,2.799999952316284,CSH,13.0,0.0
2013-01-01,CMT,2,0.699999988079071,CRD,5.0,1.2000000476837158
2013-01-01,CMT,1,4.900000095367432,CRD,17.5,4.619999885559082
2013-01-01,CMT,1,17.399999618530273,CRD,52.0,13.119999885559082
2013-01-01,CMT,1,1.2000000476837158,CRD,5.5,1.0
2013-01-01,CMT,3,2.0999999046325684,CSH,13.0,0.0
2013-01-01,CMT,4,1.100000023841858,CSH,7.0,0.0
2013-01-01,CMT,3,2.700000047683716,CRD,10.5,4.0
2013-01-01,CMT,1,0.5,CSH,4.0,0.0
2013-01-01,CMT,1,3.799999952316284,CRD,14.0,3.75
2013-01-01,CMT,1,0.800000011920929,CSH,5.0,0.0
2013-01-01,CMT,3,9.09999942779541,NOC,26.5,0.0
2013-01-01,CMT,2,3.299999952316284,CSH,12.0,0.0
2013-01-01,CMT,3,1.7999999523162842,CSH,10.0,0.0
2013-01-01,CMT,2,1.899999976158142,CSH,9.0,0.0
2013-01-01,CMT,1,1.5,CRD,7.5,1.0
2013-01-01,CMT,1,0.8999999761581421,CSH,5.5,0.0
2013-01-01,CMT,1,1.100000023841858,CSH,6.0,0.0
2013-01-01,CMT,1,0.0,CSH,3.5,0.0
2013-01-01,CMT,1,1.7000000476837158,CSH,9.0,0.0
2013-01-01,CMT,1,2.3999998569488525,CSH,10.5,0.0
2013-01-01,CMT,3,1.2000000476837158,CRD,11.0,2.4000000953674316
2013-01-01,CMT,1,5.599999904632568,CSH,17.5,0.0
2013-01-01,CMT,2,2.5999999046325684,CRD,11.5,2.5
2013-01-01,CMT,2,0.5999999642372131,CSH,4.0,0.0
2013-01-01,CMT,1,1.5,CSH,7.0,0.0
2013-01-01,CMT,2,3.5999999046325684,CSH,14.0,0.0
2013-01-01,CMT,1,8.5,CRD,27.5,5.699999809265137
2013-01-01,CMT,1,3.3999998569488525,CSH,13.5,0.0
2013-01-01,CMT,1,1.0,CSH,6.0,0.0
2013-01-01,CMT,2,2.0999999046325684,CSH,16.5,0.0
2013-01-01,CMT,4,5.5,CSH,20.0,0.0
2013-01-01,CMT,1,7.0,CRD,21.5,1.0
2013-01-01,CMT,1,2.0,CSH,8.5,0.0
2013-01-01,CMT,1,6.0,CSH,20.0,0.0
2013-01-01,CMT,1,1.399999976158142,CSH,7.5,0.0
2013-01-01,CMT,1,0.699999988079071,CSH,4.5,0.0
2013-01-01,CMT,1,1.7000000476837158,CSH,7.0,0.0
2013-01-01,CMT,1,0.800000011920929,CSH,4.5,0.0
2013-01-01,CMT,3,7.099999904632568,CRD,23.0,7.199999809265137
2013-01-01,CMT,1,0.20000000298023224,CSH,3.0,0.0
2013-01-01,CMT,1,4.400000095367432,CRD,18.0,0.8999999761581421
2013-01-01,CMT,1,8.800000190734863,CRD,25.0,6.150000095367432
2013-01-01,CMT,1,3.200000047683716,NOC,11.5,0.0
2013-01-01,CMT,1,1.5,CRD,7.0,1.600000023841858
2013-01-01,CMT,1,5.5,CRD,17.0,2.0
2013-01-01,CMT,1,3.799999952316284,CRD,17.5,1.0
2013-01-01,CMT,2,3.8999998569488525,CSH,18.0,0.0
2013-01-01,CMT,1,1.7000000476837158,CSH,8.0,0.0
2013-01-01,CMT,2,4.799999713897705,CSH,20.0,0.0
2013-01-01,CMT,1,0.699999988079071,CSH,5.0,0.0
2013-01-01,CMT,1,6.799999713897705,CSH,20.5,0.0
2013-01-01,CMT,3,0.5,CSH,5.0,0.0
2013-01-01,CMT,4,5.0,CRD,19.0,6.0
2013-01-01,CMT,2,2.0999999046325684,CRD,9.5,3.1500000953674316
2013-01-01,CMT,1,1.2000000476837158,CRD,6.5,1.5
2013-01-01,CMT,1,2.5999999046325684,CSH,12.0,0.0
2013-01-01,CMT,4,1.0,CSH,6.0,0.0
2013-01-01,CMT,1,0.5,CSH,52.0,0.0
2013-01-01,CMT,1,7.0,CSH,22.5,0.0
2013-01-01,CMT,1,2.5,CSH,9.5,0.0
2013-01-01,CMT,2,2.799999952316284,CRD,14.0,1.0
2013-01-01,CMT,1,0.800000011920929,CSH,5.5,0.0
2013-01-01,CMT,2,3.299999952316284,CSH,11.5,0.0
2013-01-01,CMT,1,10.800000190734863,CSH,30.5,0.0
