pickup_date,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location_id,dropoff_location_id,junk1,junk2
2015-01-01,0,1,2015-01-01 00:01:48,2015-01-01 00:23:02,1,6.199999809265137,-74.00177764892578,40.73945617675781,1,N,-73.93370056152344,40.766395568847656,1,20.200000762939453,0.5,0.5,5.369999885559082,0.0,0.0,26.869998931884766,0,0,,
2015-01-01,0,1,2015-01-01 00:01:50,2015-01-01 00:16:32,1,4.300000190734863,-73.9521484375,40.777374267578125,1,N,-73.98771667480469,40.724365234375,1,14.199999809265137,0.5,0.5,1.0,0.0,0.0,16.5,0,0,,
2015-01-01,0,1,2015-01-01 00:01:51,2015-01-01 00:07:07,3,0.699999988079071,-73.98214721679688,40.74208068847656,1,N,-73.98726654052734,40.73371124267578,2,5.5,0.5,0.5,0.0,0.0,0.0,6.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:53,2015-01-01 00:06:30,1,0.8999999761581421,-73.98916625976562,40.734134674072266,1,N,-73.9771728515625,40.726295471191406,2,5.5,0.5,0.5,0.0,0.0,0.0,6.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:54,2015-01-01 00:09:33,2,1.100000023841858,0.0,0.0,1,N,0.0,0.0,2,6.5,0.5,0.5,0.0,0.0,0.0,7.800000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:01:57,2015-01-01 00:06:50,1,0.8999999761581421,-73.95207214355469,40.77379608154297,1,N,-73.94893646240234,40.78153610229492,1,5.5,0.5,0.5,1.350000023841858,0.0,0.0,8.15000057220459,0,0,,
2015-01-01,0,1,2015-01-01 00:01:57,2015-01-01 00:21:10,1,3.200000047683716,-74.00350952148438,40.746543884277344,1,N,-73.96636962890625,40.77043914794922,1,14.5,0.5,0.5,3.0,0.0,0.0,18.799999237060547,0,0,,
2015-01-01,0,1,2015-01-01 00:01:59,2015-01-01 00:15:48,1,4.5,-73.98827362060547,40.73178482055664,1,N,-73.95246887207031,40.74769592285156,1,15.0,0.5,0.5,4.050000190734863,0.0,0.0,20.349998474121094,0,0,,
2015-01-01,0,1,2015-01-01 00:01:59,2015-01-01 00:04:12,1,0.4000000059604645,-73.98051452636719,40.773563385009766,1,N,-73.97808837890625,40.773502349853516,1,3.200000047683716,0.5,0.5,0.8999999761581421,0.0,0.0,5.400000095367432,0,0,,
2015-01-01,0,1,2015-01-01 00:02:00,2015-01-01 00:36:20,1,2.0999999046325684,-73.99663543701172,40.763458251953125,1,N,-73.97863006591797,40.756534576416016,1,20.5,0.5,0.5,0.0,0.0,0.0,21.799999237060547,0,0,,
2015-01-01,0,1,2015-01-01 00:02:01,2015-01-01 00:32:46,1,2.9000000953674316,-73.95759582519531,40.76510238647461,1,N,-73.9924545288086,40.7585563659668,2,19.5,0.5,0.5,0.0,0.0,0.0,20.799999237060547,0,0,,
2015-01-01,0,1,2015-01-01 00:02:01,2015-01-01 00:09:22,1,1.399999976158142,-73.98713684082031,40.734161376953125,1,N,-73.97807312011719,40.75128173828125,1,7.5,0.5,0.5,1.75,0.0,0.0,10.550000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:02:03,2015-01-01 00:10:40,1,1.899999976158142,-73.94930267333984,40.696014404296875,1,N,-73.92247009277344,40.706939697265625,2,9.0,0.5,0.5,0.0,0.0,0.0,10.300000190734863,0,0,,
2015-01-01,0,1,2015-01-01 00:02:03,2015-01-01 00:18:04,2,3.4000000953674316,-73.9708023071289,40.68956756591797,1,N,-73.94998168945312,40.65451431274414,1,13.5,0.5,0.5,2.950000047683716,0.0,0.0,17.75,0,0,,
2015-01-01,0,1,2015-01-01 00:02:04,2015-01-01 00:09:33,4,1.600000023841858,-73.99077606201172,40.73006057739258,1,N,-73.97807312011719,40.7513313293457,2,8.0,0.5,0.5,0.0,0.0,0.0,9.300000190734863,0,0,,
